employee_id	department_name	management_tier	job_title	base_salary	performance_rating	tenure_years	age	gender	ethnicity	hire_date	termination_date	engagement_score	manager_satisfaction	work_life_balance_score	is_attrition	comp_ratio	estimated_replacement_cost	tenure_cohort	flight_risk_flag
407	Engineering	Assistant Manager	Assistant Manager - Engineering	67931.21	3	0.93	36	Other	Hispanic	2025-09-10	NULL	3.00	6.00	5.00	0	0.833	27172.4840	0-1 Year (Onboarding)	0
2628	Engineering	Assistant Manager	Assistant Manager - Engineering	95011.15	3	2.78	49	Other	Asian	2023-11-03	NULL	3.00	6.00	1.00	0	1.165	38004.4600	1-3 Years (Mid-Tenure)	0
2946	Engineering	Assistant Manager	Assistant Manager - Engineering	85681.65	3	0.48	41	Non-Binary	Two or More	2026-02-22	NULL	3.00	1.00	9.00	0	1.051	34272.6600	0-1 Year (Onboarding)	0
1825	Engineering	Assistant Manager	Assistant Manager - Engineering	73367.07	4	1.65	39	Male	Two or More	2024-12-22	NULL	3.00	1.00	4.00	0	0.900	29346.8280	1-3 Years (Mid-Tenure)	1
3350	Engineering	Assistant Manager	Assistant Manager - Engineering	99203.51	5	1.46	38	Non-Binary	Asian	2025-02-27	NULL	7.00	3.00	4.00	0	1.216	39681.4040	1-3 Years (Mid-Tenure)	0
778	Engineering	Assistant Manager	Assistant Manager - Engineering	68591.61	5	4.70	63	Male	Two or More	2021-12-05	NULL	8.00	4.00	NULL	0	0.841	27436.6440	3+ Years (Tenured)	0
2718	Engineering	Assistant Manager	Assistant Manager - Engineering	84449.19	3	3.65	30	Female	Asian	2022-12-20	NULL	7.00	7.00	9.00	0	1.035	33779.6760	3+ Years (Tenured)	0
1784	Engineering	Assistant Manager	Assistant Manager - Engineering	65456.48	3	0.38	35	Other	Two or More	2026-03-31	NULL	6.00	5.00	9.00	0	0.803	26182.5920	0-1 Year (Onboarding)	0
1440	Engineering	Assistant Manager	Assistant Manager - Engineering	94341.29	2	2.26	30	Female	Two or More	2023-12-08	2026-03-11	6.00	NULL	8.00	1	1.157	37736.5160	1-3 Years (Mid-Tenure)	0
3775	Engineering	Associate	Associate - Engineering	53814.18	1	3.15	47	Non-Binary	Hispanic	2023-06-23	NULL	8.00	6.00	9.99	0	0.927	21525.6720	3+ Years (Tenured)	0
222	Engineering	Associate	Associate - Engineering	63444.96	4	0.70	54	Female	Hispanic	2022-11-23	2023-08-04	NULL	NULL	NULL	1	1.093	25377.9840	0-1 Year (Onboarding)	0
573	Engineering	Associate	Associate - Engineering	50614.84	3	0.18	37	Non-Binary	African American	2026-06-10	NULL	8.00	5.00	4.00	0	0.872	20245.9360	0-1 Year (Onboarding)	0
915	Engineering	Associate	Associate - Engineering	70938.62	2	2.81	43	Female	African American	2023-10-24	NULL	3.00	7.00	4.00	0	1.223	28375.4480	1-3 Years (Mid-Tenure)	0
3767	Engineering	Associate	Associate - Engineering	51841.58	3	4.67	49	Male	Asian	2021-12-13	NULL	6.00	6.00	5.00	0	0.893	20736.6320	3+ Years (Tenured)	0
2733	Engineering	Associate	Associate - Engineering	72671.41	3	2.46	53	Other	Two or More	2024-03-01	NULL	7.00	NULL	4.00	0	1.252	29068.5640	1-3 Years (Mid-Tenure)	0
2752	Engineering	Associate	Associate - Engineering	57168.20	1	5.05	21	Female	Hispanic	2021-07-29	NULL	5.00	6.00	1.00	0	0.985	22867.2800	3+ Years (Tenured)	0
3748	Engineering	Associate	Associate - Engineering	43823.76	3	1.06	27	Male	Hispanic	2025-07-24	NULL	8.00	9.99	8.00	0	0.755	17529.5040	1-3 Years (Mid-Tenure)	0
3780	Engineering	Associate	Associate - Engineering	71383.19	3	3.45	45	Non-Binary	African American	2023-03-03	NULL	5.00	1.00	5.00	0	1.230	28553.2760	3+ Years (Tenured)	0
3745	Engineering	Associate	Associate - Engineering	66889.45	2	4.15	44	Non-Binary	Two or More	2022-06-21	NULL	6.00	5.00	3.00	0	1.153	26755.7800	3+ Years (Tenured)	0
1804	Engineering	Associate	Associate - Engineering	64626.86	3	2.94	47	Female	Hispanic	2023-09-08	NULL	3.00	1.00	4.00	0	1.114	25850.7440	1-3 Years (Mid-Tenure)	0
2822	Engineering	Associate	Associate - Engineering	48477.33	3	0.41	39	Female	Asian	2026-03-17	NULL	NULL	NULL	NULL	0	0.836	19390.9320	0-1 Year (Onboarding)	0
3607	Engineering	Associate	Associate - Engineering	50196.35	3	NULL	47	Other	Hispanic	0000-00-00	NULL	4.00	5.00	3.00	0	0.865	20078.5400	3+ Years (Tenured)	0
1729	Engineering	Associate	Associate - Engineering	62669.14	2	1.26	39	Other	Hispanic	2025-05-11	NULL	8.00	8.00	6.00	0	1.080	25067.6560	1-3 Years (Mid-Tenure)	0
529	Engineering	Associate	Associate - Engineering	69580.69	5	NULL	28	Female	African American	0000-00-00	NULL	7.00	4.00	9.00	0	1.199	27832.2760	3+ Years (Tenured)	0
266	Engineering	Associate	Associate - Engineering	74962.32	3	4.31	43	Non-Binary	African American	2022-04-24	NULL	9.00	4.00	6.00	0	1.292	29984.9280	3+ Years (Tenured)	0
3615	Engineering	Associate	Associate - Engineering	72674.30	3	4.06	31	Male	Caucasian	2022-07-25	NULL	7.00	5.00	9.99	0	1.253	29069.7200	3+ Years (Tenured)	0
2837	Engineering	Associate	Associate - Engineering	73665.67	4	2.87	21	Other	Hispanic	2023-10-04	NULL	6.00	8.00	8.00	0	1.270	29466.2680	1-3 Years (Mid-Tenure)	0
262	Engineering	Associate	Associate - Engineering	62307.69	5	4.49	41	Female	Hispanic	2022-02-17	NULL	5.00	3.00	1.00	0	1.074	24923.0760	3+ Years (Tenured)	0
3623	Engineering	Associate	Associate - Engineering	48761.79	5	2.92	31	Other	African American	2023-09-15	NULL	4.00	4.00	7.00	0	0.840	19504.7160	1-3 Years (Mid-Tenure)	1
567	Engineering	Associate	Associate - Engineering	73512.46	2	NULL	52	Male	Caucasian	0000-00-00	NULL	NULL	NULL	NULL	0	1.267	29404.9840	3+ Years (Tenured)	0
536	Engineering	Associate	Associate - Engineering	50781.20	5	3.95	54	Male	NULL	2022-09-04	NULL	5.00	4.00	4.00	0	0.875	20312.4800	3+ Years (Tenured)	0
1759	Engineering	Associate	Associate - Engineering	53503.25	4	2.81	32	Non-Binary	Hispanic	2023-10-24	NULL	2.00	1.00	3.00	0	0.922	21401.3000	1-3 Years (Mid-Tenure)	1
936	Engineering	Associate	Associate - Engineering	72264.47	2	1.45	32	Other	Asian	2025-03-05	NULL	7.00	4.00	1.00	0	1.245	28905.7880	1-3 Years (Mid-Tenure)	0
2798	Engineering	Associate	Associate - Engineering	49577.95	3	0.32	32	Male	Two or More	2026-04-21	NULL	7.00	4.00	1.00	0	0.854	19831.1800	0-1 Year (Onboarding)	0
248	Engineering	Associate	Associate - Engineering	44940.46	3	1.55	39	Female	NULL	2025-01-27	NULL	3.00	6.00	7.00	0	0.775	17976.1840	1-3 Years (Mid-Tenure)	0
1420	Engineering	Associate	Associate - Engineering	55340.75	3	2.12	34	Other	African American	2024-07-03	NULL	8.00	8.00	9.99	0	0.954	22136.3000	1-3 Years (Mid-Tenure)	0
3705	Engineering	Associate	Associate - Engineering	58169.54	5	1.21	54	Female	Asian	2025-05-31	NULL	5.00	7.00	4.00	0	1.003	23267.8160	1-3 Years (Mid-Tenure)	0
2764	Engineering	Associate	Associate - Engineering	59682.86	4	0.14	43	Female	African American	2026-06-25	NULL	NULL	NULL	NULL	0	1.029	23873.1440	0-1 Year (Onboarding)	0
1857	Engineering	Associate	Associate - Engineering	40266.10	3	2.76	42	Non-Binary	Hispanic	2023-11-10	NULL	1.00	4.00	5.00	0	0.694	16106.4400	1-3 Years (Mid-Tenure)	0
