employee_id,department_name,management_tier,job_title,base_salary,performance_rating,tenure_years,age,gender,ethnicity,hire_date,termination_date,engagement_score,manager_satisfaction,work_life_balance_score,is_attrition,comp_ratio,tenure_cohort,flight_risk_flag
1825,Engineering,Assistant Manager,Assistant Manager - Engineering,73367.07,4,1.65,39,Male,Two or More,2024-12-22,,3.0,1.0,4.0,0,0.9,1-3 Years (Mid-Tenure),1
407,Engineering,Assistant Manager,Assistant Manager - Engineering,67931.21,3,0.93,36,Other,Hispanic,2025-09-10,,3.0,6.0,5.0,0,0.833,0-1 Year (Onboarding),0
2628,Engineering,Assistant Manager,Assistant Manager - Engineering,95011.15,3,2.78,49,Other,Asian,2023-11-03,,3.0,6.0,1.0,0,1.165,1-3 Years (Mid-Tenure),0
1440,Engineering,Assistant Manager,Assistant Manager - Engineering,94341.29,2,2.26,30,Female,Two or More,2023-12-08,2026-03-11,6.0,5.0,8.0,1,1.157,1-3 Years (Mid-Tenure),0
2718,Engineering,Assistant Manager,Assistant Manager - Engineering,84449.19,3,3.65,30,Female,Asian,2022-12-20,,7.0,7.0,9.0,0,1.035,3+ Years (Tenured),0
3350,Engineering,Assistant Manager,Assistant Manager - Engineering,99203.51,5,1.46,38,Non-Binary,Asian,2025-02-27,,7.0,3.0,4.0,0,1.216,1-3 Years (Mid-Tenure),0
2946,Engineering,Assistant Manager,Assistant Manager - Engineering,85681.65,3,0.48,41,Non-Binary,Two or More,2026-02-22,,3.0,1.0,9.0,0,1.051,0-1 Year (Onboarding),0
778,Engineering,Assistant Manager,Assistant Manager - Engineering,68591.61,5,4.7,63,Male,Two or More,2021-12-05,,8.0,4.0,5.0,0,0.841,3+ Years (Tenured),0
1784,Engineering,Assistant Manager,Assistant Manager - Engineering,65456.48,3,0.38,35,Other,Two or More,2026-03-31,,6.0,5.0,9.0,0,0.803,0-1 Year (Onboarding),0
3830,Engineering,Associate,Associate - Engineering,65840.84,4,4.69,23,Non-Binary,Asian,2021-12-07,,5.0,3.0,4.0,0,1.139,3+ Years (Tenured),0
2233,Engineering,Associate,Associate - Engineering,59645.34,5,0.25,38,Female,Hispanic,2026-05-17,,7.0,2.0,6.0,0,1.032,0-1 Year (Onboarding),0
2240,Engineering,Associate,Associate - Engineering,44430.27,4,3.8,23,Female,Hispanic,2022-10-29,,8.0,7.0,9.0,0,0.768,3+ Years (Tenured),0
2242,Engineering,Associate,Associate - Engineering,41144.34,4,3.33,51,,African American,2023-04-17,,4.0,5.0,4.0,0,0.712,3+ Years (Tenured),1
3623,Engineering,Associate,Associate - Engineering,48761.79,5,2.92,31,Other,African American,2023-09-15,,4.0,4.0,7.0,0,0.843,1-3 Years (Mid-Tenure),1
456,Engineering,Associate,Associate - Engineering,69833.95,2,1.77,28,Male,Hispanic,2024-11-08,,7.0,6.0,5.0,0,1.208,1-3 Years (Mid-Tenure),0
2303,Engineering,Associate,Associate - Engineering,56021.47,4,1.3,41,Non-Binary,Asian,2025-04-29,,8.0,6.0,7.0,0,0.969,1-3 Years (Mid-Tenure),0
2328,Engineering,Associate,Associate - Engineering,72871.78,3,0.4,21,Female,African American,2026-03-22,,1.0,1.0,1.0,0,1.26,0-1 Year (Onboarding),0
3615,Engineering,Associate,Associate - Engineering,72674.3,3,4.06,31,Male,Caucasian,2022-07-25,,7.0,5.0,9.99,0,1.257,3+ Years (Tenured),0
443,Engineering,Associate,Associate - Engineering,42990.02,2,2.16,21,Female,,2022-12-05,2025-01-30,5.0,2.0,3.0,1,0.744,1-3 Years (Mid-Tenure),0
2408,Engineering,Associate,Associate - Engineering,41698.54,5,0.07,35,Male,Hispanic,2026-07-19,,6.0,5.0,5.0,0,0.721,0-1 Year (Onboarding),0
2412,Engineering,Associate,Associate - Engineering,74649.99,3,3.9,25,Non-Binary,Hispanic,2022-09-20,,8.0,2.0,5.0,0,1.291,3+ Years (Tenured),0
164,Engineering,Associate,Associate - Engineering,59819.64,3,2.88,31,Non-Binary,Hispanic,2021-08-01,2024-06-19,6.0,5.0,3.0,1,1.035,1-3 Years (Mid-Tenure),0
3832,Engineering,Associate,Associate - Engineering,40898.86,5,2.52,51,Other,Hispanic,2022-06-21,2024-12-25,9.0,3.0,4.0,1,0.707,1-3 Years (Mid-Tenure),0
1830,Engineering,Associate,Associate - Engineering,61513.78,3,0.96,50,Other,Caucasian,2025-08-30,,7.0,9.99,3.0,0,1.064,0-1 Year (Onboarding),0
2417,Engineering,Associate,Associate - Engineering,57396.61,4,0.35,40,Male,Asian,2024-12-27,2025-05-04,6.0,5.0,5.0,1,0.993,0-1 Year (Onboarding),0
2444,Engineering,Associate,Associate - Engineering,46641.24,3,4.78,32,Other,Caucasian,2021-11-04,,7.0,3.0,4.0,0,0.807,3+ Years (Tenured),0
3562,Engineering,Associate,Associate - Engineering,50796.78,3,1.96,21,Non-Binary,Caucasian,2024-08-30,,9.99,8.0,9.99,0,0.879,1-3 Years (Mid-Tenure),0
184,Engineering,Associate,Associate - Engineering,70365.57,4,2.69,36,Male,Hispanic,2023-12-07,,9.99,9.0,9.99,0,1.217,1-3 Years (Mid-Tenure),0
2456,Engineering,Associate,Associate - Engineering,54223.23,1,3.06,35,Other,Caucasian,2023-07-25,,9.0,4.0,7.0,0,0.938,3+ Years (Tenured),0
424,Engineering,Associate,Associate - Engineering,49904.59,4,1.35,37,Non-Binary,Hispanic,2025-04-08,,6.0,3.0,6.0,0,0.863,1-3 Years (Mid-Tenure),0
3560,Engineering,Associate,Associate - Engineering,50606.79,3,5.12,37,Other,Hispanic,2021-07-04,,5.0,3.0,1.0,0,0.875,3+ Years (Tenured),0
2474,Engineering,Associate,Associate - Engineering,48545.7,3,5.06,34,Non-Binary,Hispanic,2021-07-26,,5.0,5.0,6.0,0,0.84,3+ Years (Tenured),0
2487,Engineering,Associate,Associate - Engineering,64676.67,2,2.25,36,Female,Hispanic,2024-05-16,,5.0,2.0,4.0,0,1.119,1-3 Years (Mid-Tenure),0
197,Engineering,Associate,Associate - Engineering,48730.87,4,1.25,37,Non-Binary,Caucasian,2025-05-16,,9.99,5.0,6.0,0,0.843,1-3 Years (Mid-Tenure),0
508,Engineering,Associate,Associate - Engineering,63613.73,4,2.48,62,Female,Caucasian,2024-02-21,,7.0,8.0,5.0,0,1.1,1-3 Years (Mid-Tenure),0
1923,Engineering,Associate,Associate - Engineering,73985.47,3,0.1,39,Other,Caucasian,2026-07-11,,6.0,5.0,5.0,0,1.28,0-1 Year (Onboarding),0
1950,Engineering,Associate,Associate - Engineering,66960.73,4,3.17,39,Other,Asian,2023-06-14,,3.0,6.0,5.0,0,1.158,3+ Years (Tenured),1
1969,Engineering,Associate,Associate - Engineering,46118.94,4,4.64,37,Female,Asian,2021-12-24,,4.0,9.0,5.0,0,0.798,3+ Years (Tenured),1
536,Engineering,Associate,Associate - Engineering,50781.2,5,3.95,54,Male,,2022-09-04,,5.0,4.0,4.0,0,0.878,3+ Years (Tenured),0
2013,Engineering,Associate,Associate - Engineering,49173.89,4,1.99,37,Other,Two or More,2024-08-17,,9.99,6.0,8.0,0,0.85,1-3 Years (Mid-Tenure),0
3780,Engineering,Associate,Associate - Engineering,71383.19,3,3.45,45,Non-Binary,African American,2023-03-03,,5.0,1.0,5.0,0,1.235,3+ Years (Tenured),0
2066,Engineering,Associate,Associate - Engineering,59840.59,3,1.71,36,Male,Asian,2024-11-28,,1.0,4.0,6.0,0,1.035,1-3 Years (Mid-Tenure),0
2073,Engineering,Associate,Associate - Engineering,59590.1,2,4.38,35,Non-Binary,Hispanic,2022-03-29,,7.0,5.0,4.0,0,1.031,3+ Years (Tenured),0
3775,Engineering,Associate,Associate - Engineering,53814.18,1,3.15,47,Non-Binary,Hispanic,2023-06-23,,8.0,6.0,9.99,0,0.931,3+ Years (Tenured),0
1887,Engineering,Associate,Associate - Engineering,61740.88,4,2.38,45,Other,,2024-03-29,,7.0,8.0,2.0,0,1.068,1-3 Years (Mid-Tenure),0
3767,Engineering,Associate,Associate - Engineering,51841.58,3,4.67,49,Male,Asian,2021-12-13,,6.0,6.0,5.0,0,0.897,3+ Years (Tenured),0
2087,Engineering,Associate,associate - engineering,64326.51,3,4.4,38,Other,Caucasian,2022-03-23,,7.0,5.0,5.0,0,1.113,3+ Years (Tenured),0
2224,Engineering,Associate,Associate - Engineering,67027.0,4,0.61,46,Male,Caucasian,2026-01-05,,3.0,1.0,4.0,0,1.159,0-1 Year (Onboarding),1
3748,Engineering,Associate,Associate - Engineering,43823.76,3,1.06,27,Male,Hispanic,2025-07-24,,8.0,9.99,8.0,0,0.758,1-3 Years (Mid-Tenure),0
1857,Engineering,Associate,Associate - Engineering,40266.1,3,2.76,42,Non-Binary,Hispanic,2023-11-10,,1.0,4.0,5.0,0,0.696,1-3 Years (Mid-Tenure),0
2131,Engineering,Associate,Associate - Engineering,63269.12,5,3.54,37,,Asian,2023-01-31,,4.0,3.0,6.0,0,1.094,3+ Years (Tenured),1
3745,Engineering,Associate,Associate - Engineering,66889.45,2,4.15,44,Non-Binary,Two or More,2022-06-21,,6.0,5.0,3.0,0,1.157,3+ Years (Tenured),0
2132,Engineering,Associate,Associate - Engineering,65736.68,4,3.64,50,Non-Binary,African American,2021-12-02,2025-07-23,5.0,5.0,8.0,1,1.137,3+ Years (Tenured),0
2136,Engineering,Associate,Associate - Engineering,57702.49,4,1.7,54,Non-Binary,Caucasian,2024-12-03,,5.0,2.0,4.0,0,0.998,1-3 Years (Mid-Tenure),0
2161,Engineering,Associate,Associate - Engineering,51912.53,3,0.63,30,Other,African American,2025-12-27,,5.0,7.0,3.0,0,0.898,0-1 Year (Onboarding),0
3705,Engineering,Associate,Associate - Engineering,58169.54,5,1.21,54,Female,Asian,2025-05-31,,5.0,7.0,4.0,0,1.006,1-3 Years (Mid-Tenure),0
2219,Engineering,Associate,Associate - Engineering,57946.79,3,3.52,34,Female,Caucasian,2023-02-09,,1.0,4.0,2.0,0,1.002,3+ Years (Tenured),0
2223,Engineering,Associate,Associate - Engineering,70480.59,3,1.98,40,Non-Binary,African American,2024-08-23,,6.0,5.0,9.99,0,1.219,1-3 Years (Mid-Tenure),0
1917,Engineering,Associate,Associate - Engineering,72713.5,2,0.53,24,Male,African American,2026-02-04,,9.99,4.0,6.0,0,1.258,0-1 Year (Onboarding),0
248,Engineering,Associate,Associate - Engineering,44940.46,3,1.55,39,Female,,2025-01-27,,3.0,6.0,7.0,0,0.777,1-3 Years (Mid-Tenure),0
3389,Engineering,Associate,Associate - Engineering,54161.57,4,4.49,24,,Hispanic,2022-02-18,,9.99,8.0,5.0,0,0.937,3+ Years (Tenured),0
2915,Engineering,Associate,Associate - Engineering,66121.79,3,0.7,24,Female,,2025-12-04,,7.0,4.0,7.0,0,1.144,0-1 Year (Onboarding),0
2936,Engineering,Associate,Associate - Engineering,42110.48,1,3.65,42,Female,Two or More,2022-12-23,,5.0,4.0,6.0,0,0.728,3+ Years (Tenured),0
2939,Engineering,Associate,Associate - Engineering,71717.98,1,3.55,31,Non-Binary,African American,2023-01-27,,5.0,4.0,5.0,0,1.24,3+ Years (Tenured),0
2970,Engineering,Associate,Associate - Engineering,68553.45,4,4.93,21,Male,Asian,2021-09-12,,5.0,4.0,2.0,0,1.186,3+ Years (Tenured),0
2995,Engineering,Associate,Associate - Engineering,55620.33,3,0.1,49,Male,Two or More,2023-10-15,2023-11-20,6.0,5.0,5.0,1,0.962,0-1 Year (Onboarding),0
3315,Engineering,Associate,Associate - Engineering,54591.92,2,2.08,65,,Caucasian,2024-07-15,,6.0,5.0,4.0,0,0.944,1-3 Years (Mid-Tenure),0
3304,Engineering,Associate,Associate - Engineering,68356.56,4,1.5,21,Other,Hispanic,2022-05-04,2023-11-03,6.0,5.0,5.0,1,1.182,1-3 Years (Mid-Tenure),0
3029,Engineering,Associate,Associate - Engineering,68175.01,4,4.85,31,Non-Binary,Two or More,2021-10-08,,7.0,2.0,3.0,0,1.179,3+ Years (Tenured),0
3048,Engineering,Associate,Associate - Engineering,60414.55,2,3.13,38,Other,Two or More,2023-06-28,,4.0,1.0,2.0,0,1.045,3+ Years (Tenured),0
