survey_id	employee_id	survey_date	engagement_score	manager_satisfaction	work_life_balance_score	eNPS_category
NULL	1	2024-01-31	10	7	7	Promoter
NULL	1	2024-07-31	10	9	8	Promoter
NULL	1	2024-10-31	10	10	7	Promoter
NULL	1	2025-01-31	9	6	5	Detractor
NULL	1	2025-04-30	10	10	9	Passive
NULL	1	2025-07-31	10	4	9	Promoter
NULL	1	2025-10-31	9	10	10	Promoter
NULL	1	2026-01-31	10	10	NULL	Promoter
NULL	1	2026-07-31	10	5	8	Promoter
NULL	2	01/31/2024	10	3	7	Promoter
NULL	2	2024-04-30	7	3	7	Passive
NULL	2	2024-10-31	10	4	10	Promoter
NULL	2	2025-01-31	7	3	10	Passive
NULL	2	2025-04-30	6	8	6	Detractor
NULL	2	2025-07-31	9	10	10	Detractor
NULL	2	2025-10-31	5	1	5	Detractor
NULL	2	2026-07-31	9	NULL	9	Passive
NULL	3	2024-01-31	8	6	6	Passive
NULL	3	2024-04-30	8	5	8	Promoter
NULL	3	2024-07-31	9	7	7	Promoter
NULL	3	2024-10-31	7	NULL	6	Passive
NULL	3	2025-01-31	8	9	6	Promoter
NULL	3	2025-04-30	9	10	10	Promoter
NULL	3	2025-07-31	10	10	7	Promoter
NULL	3	2025-10-31	8	9	10	Passive
NULL	3	2026-01-31	8	10	9	Promoter
NULL	4	2024-04-30	3	3	1	Detractor
NULL	4	2024-07-31	4	1	2	Detractor
NULL	4	2025-01-31	4	5	4	Detractor
NULL	4	2025-04-30	6	3	1	Passive
NULL	4	2025-10-31	1	1	4	Passive
NULL	4	2026-01-31	2	7	4	Detractor
NULL	4	2026-04-30	5	3	1	Passive
NULL	4	07/31/2026	3	1	7	Detractor
NULL	5	2025-10-31	5	8	7	Passive
NULL	5	2026-04-30	6	4	7	Passive
NULL	5	2026-07-31	5	6	1	Promoter
NULL	6	2024-07-31	1	1	1	Passive
NULL	6	2024-10-31	3	1	1	Detractor
NULL	7	2024-01-31	5	4	7	Detractor
NULL	7	2024-07-31	9	7	3	Promoter
NULL	7	2024-10-31	5	7	6	Detractor
NULL	7	2025-01-31	9	8	6	Promoter
NULL	7	2025-04-30	9	6	10	Passive
NULL	7	2025-07-31	6	7	7	Passive
NULL	7	2025-10-31	10	5	10	Promoter
NULL	7	2026-01-31	7	7	5	Passive
NULL	7	2026-04-30	8	8	7	Detractor
NULL	7	2026-07-31	7	3	9	Passive
NULL	8	2024-01-31	8	8	6	Promoter
NULL	8	2024-07-31	7	8	5	Promoter
NULL	8	2024-10-31	10	9	3	Promoter
NULL	8	2025-01-31	9	10	7	Promoter
NULL	8	2025-04-30	7	10	6	Passive
NULL	8	2025-07-31	10	7	NULL	Promoter
NULL	8	2025-10-31	8	10	8	Passive
NULL	8	2026-01-31	7	8	4	Promoter
NULL	8	2026-07-31	10	8	5	Passive
NULL	9	2025-04-30	8	6	6	Passive
NULL	9	2025-07-31	6	NULL	4	Detractor
NULL	9	2026-01-31	8	5	6	Promoter
NULL	9	2026-07-31	10	8	7	Promoter
NULL	10	2026-01-31	4	5	3	Passive
NULL	10	2026-04-30	5	1	3	Promoter
NULL	11	2025-04-30	10	7	10	Promoter
NULL	11	2026-01-31	5	8	6	Passive
NULL	11	2026-04-30	10	7	6	Promoter
NULL	11	2026-07-31	7	10	10	Promoter
NULL	12	2025-07-31	9	8	9	Detractor
NULL	13	2024-01-31	8	9	6	Passive
NULL	13	2024-04-30	10	6	8	Promoter
NULL	13	2024-07-31	8	5	10	Passive
NULL	13	2025-01-31	7	5	7	Promoter
NULL	13	2025-04-30	5	5	8	Detractor
NULL	13	2025-07-31	10	5	6	Detractor
NULL	13	2026-04-30	6	8	9	Passive
NULL	13	2026-07-31	8	4	4	Promoter
NULL	14	2024-01-31	10	9	10	Promoter
NULL	14	2024-07-31	6	10	9	Passive
NULL	14	2024-10-31	10	9	8	Passive
NULL	14	2025-04-30	10	9	8	Promoter
NULL	14	2025-07-31	8	10	10	Promoter
NULL	14	2025-10-31	10	5	5	Promoter
NULL	14	2026-01-31	10	7	2	Promoter
NULL	14	2026-04-30	10	10	6	Promoter
NULL	14	2026-07-31	8	8	7	Passive
NULL	15	2024-01-31	4	3	3	Detractor
NULL	15	2024-04-30	3	6	5	Passive
NULL	15	2024-07-31	1	4	3	Detractor
NULL	15	2025-04-30	1	5	1	Detractor
NULL	15	2025-07-31	4	3	4	Passive
NULL	15	2025-10-31	3	3	3	Detractor
NULL	15	2026-01-31	3	3	NULL	Promoter
NULL	15	2026-04-30	1	2	2	Detractor
NULL	16	2024-01-31	3	6	1	Detractor
NULL	16	2024-04-30	4	2	5	Passive
NULL	16	2024-07-31	1	4	3	Detractor
NULL	16	2024-10-31	5	5	2	Detractor
NULL	16	2025-01-31	7	7	7	Promoter
NULL	16	2025-07-31	7	2	4	Passive
NULL	16	2025-10-31	2	3	1	Detractor
NULL	16	2026-01-31	9	1	3	Promoter
NULL	16	2026-04-30	5	1	5	Passive
NULL	17	2025-07-31	3	6	3	Passive
NULL	17	2025-10-31	3	5	3	Passive
NULL	17	2026-01-31	2	5	1	Detractor
NULL	19	2026-04-30	4	5	3	Detractor
NULL	21	2025-10-31	3	3	5	Detractor
NULL	21	2026-04-30	6	4	5	Detractor
NULL	21	07/31/2026	4	7	4	Passive
NULL	22	2024-01-31	4	NULL	3	Detractor
NULL	22	2024-04-30	1	4	1	Detractor
NULL	22	2024-10-31	3	NULL	1	Passive
NULL	22	2025-01-31	6	3	1	Passive
NULL	22	2025-07-31	1	9	1	Passive
NULL	22	2026-01-31	5	3	1	Detractor
NULL	22	2026-04-30	8	4	4	Promoter
NULL	23	2024-01-31	4	2	6	Detractor
NULL	23	2024-04-30	7	8	5	Promoter
NULL	23	2024-07-31	6	6	4	Detractor
NULL	23	2025-04-30	3	4	5	Detractor
NULL	23	2025-07-31	5	4	3	Passive
NULL	23	2025-10-31	2	1	1	Detractor
NULL	23	2026-04-30	4	4	5	Promoter
NULL	24	2025-01-31	8	3	7	Promoter
NULL	24	2025-04-30	10	7	4	Promoter
NULL	24	2025-10-31	10	6	5	Promoter
NULL	24	2026-01-31	7	7	5	Passive
NULL	24	2026-04-30	5	10	8	Detractor
NULL	24	2026-07-31	8	6	7	Detractor
NULL	25	2024-01-31	8	10	7	Promoter
NULL	25	2024-07-31	10	7	7	Passive
NULL	25	2024-10-31	10	10	7	Promoter
NULL	25	2025-01-31	8	5	10	Passive
NULL	25	2025-04-30	9	NULL	5	Promoter
NULL	25	2025-07-31	9	4	8	Promoter
NULL	25	2026-01-31	7	6	9	Passive
NULL	25	2026-04-30	8	9	6	Detractor
NULL	25	2026-07-31	10	6	10	Passive
NULL	26	2024-01-31	1	5	5	Passive
NULL	26	2024-04-30	4	1	1	Passive
NULL	26	2024-07-31	3	2	4	Passive
NULL	26	2025-01-31	1	4	3	Promoter
NULL	26	2025-04-30	5	1	8	Detractor
NULL	27	2026-07-31	1	6	5	Detractor
NULL	28	2024-04-30	1	2	2	Passive
NULL	28	2024-07-31	3	6	2	Detractor
NULL	28	2024-10-31	2	4	1	Passive
NULL	28	2025-01-31	1	1	2	Detractor
NULL	28	2025-04-30	1	1	1	Detractor
NULL	28	07/31/2025	3	1	1	Passive
NULL	28	2025-10-31	1	4	1	Detractor
NULL	28	2026-01-31	1	4	1	Detractor
NULL	28	2026-07-31	2	1	1	Detractor
NULL	29	2024-01-31	3	1	8	Detractor
NULL	29	2024-04-30	9	6	4	Promoter
NULL	29	2025-04-30	7	1	8	Promoter
NULL	29	2025-10-31	7	3	8	Promoter
NULL	29	2026-01-31	7	6	7	Passive
NULL	29	2026-04-30	5	3	9	Passive
NULL	30	2026-04-30	6	6	4	Detractor
NULL	30	2026-07-31	3	3	5	Detractor
NULL	31	01/31/2024	9	10	10	Promoter
NULL	31	2024-10-31	10	10	10	Promoter
NULL	31	2025-01-31	10	7	10	Promoter
NULL	31	2025-07-31	10	8	9	Promoter
NULL	31	2025-10-31	9	10	10	Promoter
NULL	31	2026-04-30	10	10	10	Promoter
NULL	31	2026-07-31	10	7	10	Promoter
NULL	32	2024-01-31	8	7	9	Promoter
NULL	33	2026-01-31	7	9	6	Promoter
NULL	34	2026-07-31	1	1	1	Detractor
NULL	35	2025-10-31	6	4	2	Detractor
NULL	35	2026-01-31	4	8	6	Passive
NULL	35	2026-04-30	4	3	2	Detractor
NULL	36	2024-01-31	5	8	7	Detractor
NULL	36	2024-04-30	7	8	NULL	Passive
NULL	36	2024-07-31	8	9	8	Detractor
NULL	36	2024-10-31	8	1	5	Passive
NULL	36	2025-01-31	8	4	5	Passive
NULL	36	2025-04-30	4	4	4	Promoter
NULL	36	2025-07-31	10	2	4	Promoter
NULL	36	2025-10-31	6	5	8	Detractor
NULL	36	2026-07-31	10	7	6	Promoter
NULL	37	2024-04-30	3	6	6	Passive
NULL	37	2024-07-31	5	7	5	Passive
NULL	37	2024-10-31	5	4	3	Detractor
NULL	37	2025-01-31	6	5	7	Detractor
NULL	37	2025-04-30	7	1	6	Promoter
NULL	37	2025-07-31	4	10	4	Detractor
NULL	37	2026-01-31	8	3	3	Passive
NULL	37	2026-04-30	3	9	10	Detractor
NULL	37	2026-07-31	3	8	7	Passive
NULL	38	2026-07-31	6	5	5	Passive
NULL	39	2024-01-31	4	6	4	Passive
NULL	39	2024-04-30	5	8	6	Passive
NULL	39	2024-07-31	4	8	10	Detractor
NULL	39	2024-10-31	3	1	2	Detractor
NULL	39	2025-04-30	3	3	5	Passive
NULL	39	2026-01-31	3	5	9	Detractor
NULL	40	2025-10-31	7	7	6	Promoter
NULL	40	2026-01-31	4	2	2	Passive
NULL	40	2026-04-30	3	4	3	Detractor
NULL	40	2026-07-31	7	5	2	Promoter
NULL	41	2025-04-30	1	1	5	Detractor
NULL	41	2025-07-31	1	2	2	Passive
NULL	41	2025-10-31	4	8	4	Detractor
NULL	41	2026-04-30	3	7	2	Detractor
NULL	41	2026-07-31	5	4	3	Detractor
NULL	42	2024-01-31	6	1	3	Detractor
NULL	42	07/31/2024	4	8	7	Detractor
NULL	42	2024-10-31	5	3	7	Detractor
NULL	42	2025-01-31	6	2	6	Detractor
NULL	42	2025-04-30	4	7	2	Detractor
NULL	42	2025-07-31	6	8	5	Promoter
NULL	42	2025-10-31	9	6	1	Promoter
NULL	42	2026-01-31	5	8	4	Passive
NULL	42	2026-04-30	9	9	4	Promoter
NULL	42	2026-07-31	7	6	6	Passive
NULL	43	2025-07-31	6	9	5	Passive
NULL	43	2026-01-31	5	5	6	Passive
NULL	43	2026-04-30	9	8	5	Promoter
NULL	44	2024-10-31	5	NULL	6	Detractor
NULL	44	2025-01-31	4	6	2	Detractor
NULL	44	2025-04-30	6	7	8	Passive
NULL	44	2025-10-31	5	1	4	Detractor
NULL	44	2026-01-31	3	5	5	Detractor
NULL	44	2026-04-30	1	7	3	Detractor
NULL	45	2024-10-31	7	5	2	Promoter
NULL	45	2025-01-31	8	6	2	Promoter
NULL	45	2025-04-30	7	5	7	Detractor
NULL	45	2025-07-31	5	5	5	Detractor
NULL	46	2024-04-30	10	10	10	Passive
NULL	46	2024-07-31	10	9	7	Passive
NULL	46	2025-01-31	10	5	7	Promoter
NULL	46	2025-04-30	10	10	8	Promoter
NULL	46	2025-07-31	8	10	10	Passive
NULL	46	2026-01-31	8	5	6	Detractor
NULL	46	2026-04-30	8	5	9	Promoter
NULL	46	2026-07-31	10	10	7	Promoter
NULL	47	2025-04-30	10	8	4	Detractor
NULL	47	2025-07-31	4	1	9	Passive
NULL	47	2025-10-31	7	4	9	Passive
NULL	47	2026-01-31	9	6	6	Detractor
NULL	47	2026-07-31	5	7	5	Detractor
NULL	48	2024-01-31	1	1	5	Detractor
NULL	48	04/30/2024	2	1	1	Promoter
NULL	48	2024-07-31	5	5	1	Detractor
NULL	48	2025-01-31	4	3	3	Detractor
NULL	48	2025-04-30	7	6	5	Passive
NULL	48	2025-07-31	6	6	4	Detractor
NULL	48	2025-10-31	6	6	9	Detractor
NULL	48	2026-01-31	3	1	3	Passive
NULL	48	2026-07-31	3	4	2	Detractor
NULL	49	2024-10-31	7	4	4	Passive
NULL	50	2026-07-31	6	5	6	Passive
NULL	51	2024-04-30	6	5	4	Detractor
NULL	51	2024-10-31	4	6	3	Detractor
NULL	51	2025-01-31	4	3	1	Passive
NULL	51	04/30/2025	6	6	8	Detractor
NULL	51	2025-10-31	7	8	4	Promoter
NULL	51	2026-04-30	8	5	4	Promoter
NULL	51	2026-07-31	7	2	1	Promoter
NULL	52	2024-01-31	6	1	2	Detractor
NULL	52	2024-04-30	3	7	3	Promoter
NULL	52	2024-07-31	3	3	5	Detractor
NULL	52	2024-10-31	6	6	3	Passive
NULL	52	2025-01-31	3	1	7	Detractor
NULL	52	2025-04-30	6	4	2	Passive
NULL	52	2025-07-31	4	3	8	Detractor
NULL	52	10/31/2025	2	1	NULL	Detractor
NULL	52	2026-01-31	2	1	4	Passive
NULL	52	2026-04-30	2	4	1	Detractor
