application_id	requisition_id	department_id	date_applied	screen_passed	interview_passed	offer_extended	offer_accepted	hire_date	time_to_fill_days
1	REQ-2025-313	13	2025-08-30	1	0	0	0	NULL	NULL
2	REQ-2026-132	8	09/23/2025	1	0	0	0	NULL	NULL
3	REQ-2025-152	5	2025-10-14	1	1	0	0	NULL	NULL
4	REQ-2026-195	9	2025-08-02	1	1	0	0	NULL	NULL
5	REQ-2025-298	14	2026-01-10	1	0	0	0	NULL	NULL
6	REQ-2025-256	13	2025-10-09	1	1	1	0	NULL	NULL
7	REQ-2026-150	4	2026-05-26	1	1	0	0	NULL	NULL
8	REQ-2026-269	10	2026-04-18	0	0	0	0	NULL	NULL
9	REQ-2026-121	14	2026-04-27	0	0	0	0	NULL	NULL
10	REQ-2025-340	13	2026-01-16	1	1	0	0	NULL	NULL
11	REQ-2026-138	12	2026-07-05	1	0	0	0	NULL	NULL
12	REQ-2026-290	9	2026-06-06	0	0	0	0	NULL	NULL
13	REQ-2025-139	9	2025-10-13	1	0	0	0	NULL	NULL
14	REQ-2025-307	6	2026-02-21	0	0	0	0	NULL	NULL
15	REQ-2025-104	1	2026-06-06	0	0	0	0	NULL	NULL
16	REQ-2026-134	14	01/18/2026	1	0	0	0	NULL	NULL
17	REQ-2026-201	4	2026-01-15	1	1	1	1	2026-02-09	25
18	REQ-2025-295	2	2026-05-19	0	0	0	0	NULL	NULL
19	REQ-2025-347	5	2026-06-15	1	0	0	0	NULL	NULL
20	REQ-2026-242	5	2025-09-07	1	0	0	0	NULL	NULL
21	REQ-2026-331	12	2026-04-07	1	0	0	0	NULL	NULL
22	REQ-2025-228	2	2026-01-08	0	0	0	0	NULL	NULL
23	REQ-2026-143	7	2026-04-21	1	0	0	0	NULL	NULL
24	REQ-2026-269	9	2026-05-31	0	0	0	0	NULL	NULL
25	REQ-2025-346	14	2025-08-29	0	0	0	0	NULL	NULL
26	REQ-2026-109	1	2025-10-31	1	1	1	1	2025-12-07	37
27	REQ-2025-108	1	2026-04-29	1	0	0	0	NULL	NULL
28	REQ-2025-170	12	2026-02-25	1	0	0	0	NULL	NULL
29	REQ-2025-156	16	2026-03-29	0	0	0	0	NULL	NULL
30	REQ-2026-131	3	2025-10-27	1	1	0	0	NULL	NULL
31	REQ-2025-304	1	2026-02-03	1	1	1	1	2026-03-23	48
32	REQ-2025-152	7	2026-03-30	1	0	0	0	NULL	NULL
33	REQ-2025-279	12	2026-04-30	1	0	0	0	NULL	NULL
34	REQ-2025-165	5	08/13/2025	0	0	0	0	NULL	NULL
35	REQ-2025-301	11	2026-02-01	0	0	0	0	NULL	NULL
36	REQ-2026-348	11	2026-01-25	1	1	0	0	NULL	NULL
37	REQ-2025-164	12	2025-08-17	1	1	0	0	NULL	NULL
38	REQ-2026-230	16	2025-11-07	1	1	1	1	2026-01-11	65
39	REQ-2026-352	9	2026-04-29	1	1	0	0	NULL	NULL
40	REQ-2026-147	7	2026-05-21	0	0	0	0	NULL	NULL
41	REQ-2025-288	8	2025-08-08	0	0	0	0	NULL	NULL
42	REQ-2025-139	6	2025-12-24	1	0	0	0	NULL	NULL
43	REQ-2025-102	8	2026-06-14	1	1	0	0	NULL	NULL
44	REQ-2026-235	6	2026-02-23	1	0	0	0	NULL	NULL
45	REQ-2025-314	12	2026-03-14	1	0	0	0	NULL	NULL
46	REQ-2025-209	3	2025-10-01	0	0	0	0	NULL	NULL
47	REQ-2025-234	8	2025-09-23	1	1	1	1	2025-10-08	15
48	REQ-2026-147	15	2026-01-11	1	0	0	0	NULL	NULL
49	REQ-2026-121	2	2025-08-11	0	0	0	0	NULL	NULL
50	REQ-2025-190	12	2026-02-06	0	0	0	0	NULL	NULL
51	REQ-2025-330	3	2025-10-31	1	1	0	0	NULL	NULL
52	REQ-2025-238	15	2025-09-18	0	0	0	0	NULL	NULL
53	REQ-2026-320	16	2026-07-28	0	0	0	0	NULL	NULL
54	REQ-2026-183	2	2026-04-30	1	0	0	0	NULL	NULL
55	REQ-2026-329	16	2025-08-12	1	1	0	0	NULL	NULL
56	REQ-2026-197	5	2026-07-13	0	0	0	0	NULL	NULL
57	REQ-2026-181	10	2025-11-22	0	0	0	0	NULL	NULL
58	REQ-2025-312	2	2025-11-03	0	0	0	0	NULL	NULL
59	REQ-2025-225	16	2026-01-18	1	1	0	0	NULL	NULL
60	REQ-2026-352	8	2025-09-23	0	0	0	0	NULL	NULL
61	REQ-2026-246	9	2026-05-31	1	1	0	0	NULL	NULL
62	REQ-2025-179	7	2026-02-26	1	0	0	0	NULL	NULL
63	REQ-2026-322	7	2026-03-31	1	1	1	1	2026-04-18	18
64	REQ-2026-188	12	2026-01-27	1	0	0	0	NULL	NULL
65	REQ-2025-192	3	2025-09-02	0	0	0	0	NULL	NULL
66	REQ-2025-332	6	2026-03-10	1	1	0	0	NULL	NULL
67	REQ-2026-194	6	2025-10-05	1	0	0	0	NULL	NULL
68	REQ-2026-348	4	2025-10-30	0	0	0	0	NULL	NULL
69	REQ-2025-123	9	2026-06-25	0	0	0	0	NULL	NULL
70	REQ-2025-106	4	2025-11-20	1	0	0	0	NULL	NULL
71	REQ-2026-202	14	2026-02-16	1	1	0	0	NULL	NULL
72	REQ-2025-257	13	2026-07-19	1	0	0	0	NULL	NULL
73	REQ-2026-195	3	2025-09-17	0	0	0	0	NULL	NULL
74	REQ-2025-268	11	2025-12-12	1	1	1	1	2026-01-03	22
75	REQ-2026-266	3	2025-12-15	0	0	0	0	NULL	NULL
76	REQ-2025-177	15	2025-12-22	0	0	0	0	NULL	NULL
77	REQ-2026-176	13	2025-12-09	0	0	0	0	NULL	NULL
78	REQ-2025-146	7	2025-11-07	1	1	1	0	NULL	NULL
79	REQ-2026-198	7	2025-11-23	1	0	0	0	NULL	NULL
80	REQ-2026-219	2	2026-04-13	1	0	0	0	NULL	NULL
81	REQ-2025-281	3	2025-10-18	1	0	0	0	NULL	NULL
82	REQ-2025-168	14	2025-10-19	0	0	0	0	NULL	NULL
83	REQ-2025-314	16	2026-06-27	1	0	0	0	NULL	NULL
84	REQ-2025-112	9	2025-12-24	1	1	0	0	NULL	NULL
85	REQ-2026-195	12	2025-10-02	0	0	0	0	NULL	NULL
86	REQ-2025-276	6	2025-08-15	1	1	1	1	2025-09-05	21
87	REQ-2026-187	7	2026-07-30	1	0	0	0	NULL	NULL
88	REQ-2025-318	10	2026-05-15	0	0	0	0	NULL	NULL
89	REQ-2025-179	11	2026-07-18	1	0	0	0	NULL	NULL
90	REQ-2026-119	9	2026-01-28	1	0	0	0	NULL	NULL
91	REQ-2025-234	14	2025-09-23	1	0	0	0	NULL	NULL
92	REQ-2026-127	11	2026-05-19	1	1	0	0	NULL	NULL
93	REQ-2025-262	3	2025-12-06	1	0	0	0	NULL	NULL
94	REQ-2025-233	7	2026-06-13	0	0	0	0	NULL	NULL
95	REQ-2025-349	5	2025-11-12	1	1	0	0	NULL	NULL
96	REQ-2026-286	13	2025-10-09	0	0	0	0	NULL	NULL
97	REQ-2026-348	3	2025-11-19	1	0	0	0	NULL	NULL
98	REQ-2026-155	13	2025-08-09	0	0	0	0	NULL	NULL
99	REQ-2026-335	14	2026-06-01	0	0	0	0	NULL	NULL
100	REQ-2025-149	16	2026-01-24	1	1	1	1	2026-02-14	21
101	REQ-2026-115	5	2025-12-18	1	0	0	0	NULL	NULL
102	REQ-2025-265	8	2026-03-01	1	1	0	0	NULL	NULL
103	REQ-2025-244	13	2026-05-14	1	0	0	0	NULL	NULL
104	REQ-2026-303	5	2025-12-07	0	0	0	0	NULL	NULL
105	REQ-2025-280	7	2026-03-01	1	1	0	0	NULL	NULL
106	REQ-2025-323	14	2026-01-20	0	0	0	0	NULL	NULL
107	REQ-2025-105	8	2026-06-16	1	1	1	1	2026-08-20	65
108	REQ-2025-330	2	2025-11-03	0	0	0	0	NULL	NULL
109	REQ-2026-115	1	2026-04-19	1	1	0	0	NULL	NULL
110	REQ-2026-193	7	2026-01-17	0	0	0	0	NULL	NULL
111	REQ-2026-287	3	2026-02-11	1	0	0	0	NULL	NULL
112	REQ-2026-266	11	2026-05-12	1	1	0	0	NULL	NULL
113	REQ-2026-141	5	2026-01-01	0	0	0	0	NULL	NULL
114	REQ-2026-128	8	2026-04-24	1	1	0	0	NULL	NULL
115	REQ-2026-284	13	2026-02-06	1	0	0	0	NULL	NULL
116	REQ-2025-300	8	2025-10-22	1	1	1	1	2025-12-05	44
117	REQ-2025-276	8	2026-04-19	1	0	0	0	NULL	NULL
118	REQ-2025-332	5	2026-07-16	1	0	0	0	NULL	NULL
119	REQ-2026-230	8	2025-12-04	1	0	0	0	NULL	NULL
120	REQ-2026-199	11	2025-10-12	1	1	1	1	2025-11-17	36
121	REQ-2025-244	15	2025-10-18	0	0	0	0	NULL	NULL
122	REQ-2025-203	6	2025-11-13	1	1	0	0	NULL	NULL
123	REQ-2026-201	15	2025-08-04	0	0	0	0	NULL	NULL
124	REQ-2025-129	14	2025-08-19	1	0	0	0	NULL	NULL
125	REQ-2025-341	12	2025-08-18	0	0	0	0	NULL	NULL
126	REQ-2025-274	8	2025-08-14	1	0	0	0	NULL	NULL
127	REQ-2025-172	8	2025-12-27	0	0	0	0	NULL	NULL
128	REQ-2025-152	3	2025-09-30	1	1	1	1	2025-11-22	53
129	REQ-2025-279	15	12/22/2025	0	0	0	0	NULL	NULL
130	REQ-2026-296	5	2025-11-28	1	0	0	0	NULL	NULL
131	REQ-2025-208	7	2026-06-24	1	1	0	0	NULL	NULL
132	REQ-2026-150	3	2026-07-11	1	1	0	0	NULL	NULL
133	REQ-2026-147	2	2026-01-12	0	0	0	0	NULL	NULL
134	REQ-2026-159	7	2026-06-25	1	0	0	0	NULL	NULL
135	REQ-2026-221	16	2025-11-21	0	0	0	0	NULL	NULL
136	REQ-2026-328	9	2026-02-26	0	0	0	0	NULL	NULL
137	REQ-2025-203	1	2025-11-16	0	0	0	0	NULL	NULL
138	REQ-2026-322	12	2026-06-08	0	0	0	0	NULL	NULL
139	REQ-2025-108	6	2025-09-19	0	0	0	0	NULL	NULL
140	REQ-2025-280	14	2026-01-30	1	0	0	0	NULL	NULL
141	REQ-2025-318	4	2026-02-06	1	1	0	0	NULL	NULL
142	REQ-2025-307	15	2026-02-21	1	0	0	0	NULL	NULL
143	REQ-2026-230	10	2026-07-30	1	1	0	0	NULL	NULL
144	REQ-2025-182	12	2025-08-05	1	0	0	0	NULL	NULL
145	REQ-2026-316	8	2026-06-27	0	0	0	0	NULL	NULL
146	REQ-2025-215	12	2025-11-05	1	0	0	0	NULL	NULL
147	REQ-2025-152	4	2026-01-02	0	0	0	0	NULL	NULL
148	REQ-2026-110	6	2026-04-18	1	0	0	0	NULL	NULL
149	REQ-2025-313	13	2026-01-05	1	1	1	1	2026-02-14	40
150	REQ-2025-255	9	2026-03-19	1	1	0	0	NULL	NULL
151	REQ-2026-253	13	2026-01-06	1	1	0	0	NULL	NULL
152	REQ-2026-130	7	2026-04-03	0	0	0	0	NULL	NULL
153	REQ-2025-215	16	2025-09-13	1	1	0	0	NULL	NULL
154	REQ-2025-240	16	2025-12-24	1	0	0	0	NULL	NULL
155	REQ-2026-338	5	2025-10-04	0	0	0	0	NULL	NULL
156	REQ-2026-143	5	2026-04-12	1	1	0	0	NULL	NULL
157	REQ-2025-215	10	2026-02-05	1	1	0	0	NULL	NULL
158	REQ-2025-171	1	2026-03-15	1	0	0	0	NULL	NULL
159	REQ-2025-283	15	2025-12-26	1	0	0	0	NULL	NULL
160	REQ-2025-318	10	2026-04-08	1	0	0	0	NULL	NULL
161	REQ-2026-176	12	2025-09-15	0	0	0	0	NULL	NULL
162	REQ-2026-217	4	2026-07-29	0	0	0	0	NULL	NULL
163	REQ-2025-167	9	2026-03-06	1	0	0	0	NULL	NULL
164	NULL	8	2025-12-04	0	0	0	0	NULL	NULL
165	REQ-2026-264	7	2026-07-04	1	0	0	0	NULL	NULL
166	REQ-2025-262	16	2026-03-24	1	0	0	0	NULL	NULL
167	REQ-2026-250	7	2026-06-12	0	0	0	0	NULL	NULL
168	REQ-2025-248	3	2025-08-17	1	0	0	0	NULL	NULL
169	REQ-2025-223	16	2025-12-07	1	1	0	0	NULL	NULL
170	REQ-2025-167	4	2026-06-19	1	0	0	0	NULL	NULL
171	REQ-2026-187	1	2025-08-25	1	1	1	0	NULL	NULL
172	REQ-2026-201	2	2025-12-28	1	1	0	0	NULL	NULL
173	REQ-2026-329	12	2025-11-16	0	0	0	0	NULL	NULL
174	REQ-2026-329	7	2026-01-11	0	0	0	0	NULL	NULL
175	REQ-2026-107	4	2025-11-08	1	0	0	0	NULL	NULL
176	REQ-2026-114	6	2026-07-20	1	0	0	0	NULL	NULL
177	REQ-2025-216	9	2026-05-19	1	0	0	0	NULL	NULL
178	REQ-2025-124	5	2026-01-21	0	0	0	0	NULL	NULL
179	REQ-2026-133	10	2025-12-20	0	0	0	0	NULL	NULL
180	REQ-2025-276	7	2025-11-29	1	1	0	0	NULL	NULL
181	REQ-2026-181	11	2025-08-16	1	0	0	0	NULL	NULL
182	REQ-2025-234	16	2025-11-14	1	0	0	0	NULL	NULL
183	REQ-2025-174	3	2026-04-26	0	0	0	0	NULL	NULL
184	REQ-2025-306	9	2026-01-19	0	0	0	0	NULL	NULL
185	REQ-2026-161	16	2025-09-23	1	0	0	0	NULL	NULL
186	REQ-2026-194	2	2026-06-19	1	0	0	0	NULL	NULL
187	REQ-2026-315	8	2025-08-16	0	0	0	0	NULL	NULL
188	REQ-2025-314	5	2025-08-06	0	0	0	0	NULL	NULL
189	REQ-2026-115	4	2026-05-04	1	1	0	0	NULL	NULL
190	REQ-2025-208	8	2026-02-13	1	0	0	0	NULL	NULL
191	REQ-2025-229	12	2025-12-30	0	0	0	0	NULL	NULL
192	REQ-2025-142	9	2025-09-03	0	0	0	0	NULL	NULL
193	REQ-2026-282	10	2025-12-02	0	0	0	0	NULL	NULL
194	REQ-2025-271	3	2026-01-04	1	0	0	0	NULL	NULL
195	REQ-2025-146	12	2025-10-01	1	1	0	0	NULL	NULL
196	REQ-2026-237	2	2026-04-04	1	0	0	0	NULL	NULL
197	NULL	5	2026-04-19	0	0	0	0	NULL	NULL
198	REQ-2025-216	5	2026-05-22	1	0	0	0	NULL	NULL
199	REQ-2025-324	5	2026-05-30	1	0	0	0	NULL	NULL
200	REQ-2025-190	1	2026-03-10	1	0	0	0	NULL	NULL
201	REQ-2025-218	7	2026-04-01	1	1	0	0	NULL	NULL
202	REQ-2025-302	13	2025-11-24	0	0	0	0	NULL	NULL
203	REQ-2025-151	1	2025-10-31	1	0	0	0	NULL	NULL
204	REQ-2026-328	8	2025-12-01	1	1	0	0	NULL	NULL
205	REQ-2025-262	7	2026-05-05	0	0	0	0	NULL	NULL
206	REQ-2025-173	13	2025-11-27	0	0	0	0	NULL	NULL
207	REQ-2025-271	4	2026-07-29	1	0	0	0	NULL	NULL
208	REQ-2026-316	1	2026-05-17	0	0	0	0	NULL	NULL
209	REQ-2025-268	10	2025-10-03	0	0	0	0	NULL	NULL
